	R1_Rigid_Posture_Copy	R2_Face_Centric	R3_Punctuated_Motions	R4_Vertical_Movements	R5_Subordinate_Fluidity	F1_Fluid_Posture	F2_Eye_Centric	F3_Gliding_Motions	F4_Horizontal_Movements	F5_Subordinate_Rigidity	PF1_Restless_Momentum	PF2_Toggling_Eyes	PF3_Body_Swaying	PF4_Casual_Hands	PF5_Alert_Perk_Ups	RF1_Viscous_Inertia	RF2_Fixed_Gaze	RF3_Diagonal_Eye_Drifts	RF4_Searching_Scowling	RF5_Narrow_Head_Zoning	PR1_Head_Pushes	PR2_Head_Shakes	PR3_Shoulder_Shrugs	PR4_Fluent_Articulation	PR5_Projecting_Hands	RR1_Poised_Receding	RR2_Disengaging_Eyes	RR3_Exerted_Pushes	RR4_Momentum_Halting	RR5_Meticulous_Hands
Christopher Hitchens		2	7	4		4	4	2	4	4	2		2	4		7	4	7	2	4	4	7	2	2	4		4	2		4
Ryan George		2	2	2		7	7	7	7	4	7	4	7	7	7			4	2		2	2	4	4	4		2		2	2
Chelsea Wolfe	2	4			2		2	2			2	2	4	2			2	2								4	7	2	4	4
Matthew Bothwell			4	2		4	4	7	7	4	7	2	7	7	2						2	4	2	7	2		2			
David Tong			7	4		4	4	7	4	4	7	2	7	4	4		2			2	2	7	2	4	4					2
Piers Morgan	4	2	4	7	4		4	2			2		2			4	4	2	2	4	4	4	2	7	7					
Jonathan Haidt	4	7	4	4	2			2	2			4		2	4			4	2		4	4	2	4	7		4		2	4
Serge Haroche			2			7	7	4	4	4						7	7	7	2	7	2		2		2					
Helen Swift			2				4	4		2	2		4		2	2	7	0	2	7	7	4	2	4		2				4
Kirsten Dunst	4		2	2		7	4	2	4	4	2	4	2	7	4		2	2			4	4	4	4	7	4	2	2		4
Tobey Maguire	7	4	2	2	7	2	2	2	2		0	4	4	2	7			4	4		2	4		2	7	4	4		4	7
Alex Garland	4	4	7	7	7	7	4	2	4		2	7	7	7	2	2	2	7	4	0	7	4	4	4	7		4		4	2
Brian Wilson		2	2	2		4	7	4	4	4	4	7	2	4	4	4	4	4	2	4		2	2	4	2	2	4			2
Dame Darcy	7	4			4	2	2	4			4	4	4	4	2							2	2		2	7	2	4	2	7
Max Richter		2	2	2		4	2	4	7	2	2	2	2	7	2	7	4	4	7	4	2	2	2	2	4	2	2	2	2	4
Brandon Boyd	7	4	4	4	4			2	2		4	4		2					2		2	4		2	4	4	7	2	4	7
Eva Holbrook	4	4	2	4	4	2	2	2	2		4	4	2	4	2		2	2				2		2	2	4	4	7	2	7
Antonia Dodge	4		4	4	4				0		2	4	2	2	2			2	2		4	7		7	4	4	2	2	4	4
Andy Samberg	2	4	4	4		4	7	4	4	7	4	4	4	7	4	2	2	2			4	2	4	4	7	2	2			2
Zack Hemsey	2	2	2	4		4	4	4	7	4	7	4	4	7	4	0	2	2		0	4	4	4	7	4		2			
Nina Hagen	7	7	4	4	4	4	2	2	4	2	2	7	7	7	4		2	4		2	7	7	7	7	4	4	7	2	2	4
Kate Winslet	7	7	4	7	4	2	0	2	2		0	2	2	2	2	0	0	2	2	4	7	7	2	4	7	2	2		2	4
Jacques			0			7	7	4	7	4	7	7	7	4	4	4	2	7		2		4		2	4	2	2	4	2	2
Frank Zappa	4	7	2	0	2	4	0	2	0	4	4		7	4	4	7	4	7		2	7	7	4	7	2	2	2			2
Cillian Murphy	2	4	2	2		4	4	4	7	4	4	4	2	4	7	4	4	2	2	4	4	2	2	4	7	2	2	2	2	4
Bryan Johnson	7	7	4	7	2			2	2		2	7	0		2			2	2	2	2	2	2	4	7	2	7	7	4	4
Greg O'Gallagher	2		4	2		7	4	4	4	7	7	2	4	4	2			4			2	4	0	4	7		7	4	4	
Sarah Shahi	4	2	4	4	7	2	4	4	2		4	2	4	4	2						4	4		7	4					
Ken Stornes			2	2		7	7	4	2	4	4	4	7	2	4	2		4	2		2	4		2	2		2		2	
Robert F. Kennedy Jr.	4	2	7	4	2	4	4	4	4	7	2	2	2	2	2	4	4	2	2	4	4	4	4	2	7	2	4		2	4
Gregory Koukl	7	7	7	7	7						2		2	2	2				4		7	7	4	7	4					
Bishop Barron	2	4	7	4	7	4	2				4	2		2		4		4	7	2	7	7	2	4	7				2	
Simone Simons	7	7	2		4	0		2			4	4	2	0					2		2	2	2	2	2	7	7	2	7	4
Poppy	7	7							2		4	2	2	2	2		4			0						7	7	2	4	4
Ken Liu	4	2	2	7	0	7	4	4	7	7	4	2	7	7	7	2	0	4	7	2	7	7	4	4	4	7	7	2	2	7
Laura Marling	7	4	4		4				2		2	2	2	2	2				2		2	2				7	7	2	7	4
Pete Davidson						7	7	4	4	2	7	4	7	7	4			2							2				2	4
Adama Traore	2					4	7	4	2	4	7	4	4	2	4	2	4	4	2	4		2				2	4		4	2
Dario Nardi			2			7	7	4	7	7	7	2	7	4	4			2			2	7	2	4	4		7		2	
Josh Richards			2			7	7	7	7	7	7	4	7	7	2			2				2		4	2					2
Gillian Anderson	4	4	4	4	2	2			2			2	2	2	4		2	2	2		7	2	2	4	7	7	2	2	2	7
Megan Fox	7	4	4	4	4	2	2	2	4		2	7	2	7	2		2	2				2	2	4	4	4	7	4	2	7
Xi Jinping	2		2			4	7	4	2	4		2				7	7	4		7	2	2		2						
Lalisa						7	4	2	4	4	2	4	4	4	2			2			2	2		2	2	4	2	4		7
Roger Scruton			2	2		2	2		4	2	2	2			2	7	7	7	2	7	4	2	2	4	4		2	0		2
John Demartini	7	4	7	4	4		2		2		2							2		2	4	7	7	7	4		2		2	2
Isaac	7	7				0		2			2	4					2	2		2			2			7	4	2	7	2
Thales	4	4	2	4	7	2		2	2		4	2	2	4	2										4	7	7	2	7	7
Reese Regan	2		2	0		4	7	2	4	4	4	2	4	7	4						0	4	2	4	4					2
Paul Adefarasin	4	4	7	7	4		0		2						4	2	2		2	2	7	7	4	7	7					2
Aushra Augusta	7	2	7	7	4		4			0				2	2	4	7	4	4	7	7	2		7	7					
Nicole Hause		2				2	4	2	7	7	4	2	4	7	2	4	7	4		2		2	4	2	2	0	0			2
David McDonald	4	4	2			2	4	2			2	2					2	4		2		2	2		4	2	4	2	7	2
Jamila Musayeva	7	7	7	7	7							4					4			2	2			2	4	7	2	7	4	7
Wenzes	4	7	7	4	4			2				2	2	4				2	2		4	4	2	7	4					2
Sharon Gannon	7	7	4	7	4			2				4	4		2		2			2	7	4		0	4	7	7	4	7	7
Clay Arnall	7	4	7	7	7	4	4	4	4	2	4	7	2	4	4	2	2		2		4	7	4	7	7	4	4	2	2	4
Robert A. Wilson			2			4	7	2	7	7		2				7	4	7	2	7	2	2			2					
Rampal Ji Maharaj			2	2		7	7		4	7				2		7	7	4		7	2	2			4				2	2
Jade Tan-Holmes	4	2	4	2		2	2	4	7	4	7	7	7	4	7		2			2	4	7	7	4	2			2		2
Katherine Heigl	7	7	7	7	7	0	2	4	7		2	7	4	4	7		2	2	2	2	7	7	2	7	7	2	2		2	2
Les Carter	4	7	4	2					2		2		2	2	2	2	4	2	2	4	4	7	4	7	4					
Ramani Durvasula	4	4	7	4	7	4	2	4	2		4	0	4	2	7			2			7	7	4	7	7					
Sam Vaknin	4	7	7	7	4	2					4		2		4		2	4	2		7	7	4	7	7					
Steven Tyler		2	4	2		7	4	4	4	7	7	4	2	4	4	2	2	2	2		4	2	4	7	4		2			4
Howard the Printer	4					4	7	2	7	4	2			4		4	7	4	4	7				2						2
Melissa Dougherty	7	4	7	4	2	2	2	2	2	2	2	7	2	4	2	0	2	2	2	2	2	4	4	7	7	2	2	0	2	4
ButHa			4	2		4	4	2	4	4	4	4	4	4	2			2	2		4	2	2	4	4			2	4	2
Olivia Rodrigo	4	4					2	4	4	4	4	4	2	4	7							2		4		4	4	2	2	4
Gerald Edelman			2	4		2	2	2	4	2			2	2	2	7	7	4	2	7	2	2	2	4	4		2		2	4
Carolyn Elliott	4	7	4	4	7	0	0	2	2		2	4	2	4	4	4	2		2	2	7	7	2	7	7		2	2	4	7
Gervonta Davis				4		7	7	7	4	2	7	4	4	7	4	2	2	4	2		2	2	2	2	2	2	2	2	2	2
Hania Rani	7	7	4	4	7	2	0	2	4	2	4	7	4	7	7			2			2	4	2	4	4	7	7	4	2	4
Torie Bosch	2	2	4		0	4	4	7	4	4	7	4	7	2	7		2	2			2	4	2	7	2	4	4	2	4	2
Marisa LaBlue			4	2		4	7	7	4	2	7	4	7	4	2		2			2	0	2	2	4	2					2
Shohreh Aghdashloo	4	4	7	7	4	0		4	2		2	4	2	2	2	0	2	4	2		7	7	2	4	7	2	2	2	2	4
Avicii	0	0	2	2	2	7	4	7	7	4	7	4	7	7	4	2	2	4	2	2	2		4	4	2		4		2	
Joe Dispenza	4	2	4	7	7	4	4	4	4		2	2	7	4	2	2	0	4	2	2	4	7		7	7					2
Marina Abramovic	7	4	2	4	4		4					2				0	4	2		7	2	2	2	2	2	7	7	2	2	2
Brett Cooper	2	2	7	7	2	2	2	4		2	7	2	4	2	4		2	2			4	7	2	7	7					2
James Lindsay	7	7	4	2	7				4			2	0	4	4	2	2	4		4	7	7	4	7	7				2	
Mike Holtz			2	4		4	4	7	7	7	7	2	7	7	7			4	2	2	4	4	2	7	7			2		
Julian Gewirtz	7	4	4	7	2		2			2		2			2		4	2		4	4	7		4	4				2	
Gabriel Barkay			2			7	7	2	4	7		2		2		7	7	7	7	7	2	2		2	2		2		2	2
Thyssen			2	4		7	7	4	2	4	4	2	4	4	2	4	7	7		4					2	2	2		2	4
Dave Soldier			2	2		4	4	4	4	2	4		7	4	2	4	7		4	7	4	2	2	2	2	0	4	2	2	2
Cher	7	7	2	2	2					2	2	7	2	2	0					4	2	2		2	2	7	2	2	7	7
Justin Trudeau	4	4	7	4	4		2		4		4		4					4	2	2	4	7	2	4	4				2	2
King Charles III			4	2		7	7	4	4	4	2		4			4	4	7	4	7	4	7	2	2	4		2	2	2	2
Bob DuHamel			4				7			7		2				2	7		4	7	2	2		4	2					
Roanna Chan		4	4			2	4	4	4	7	7	7	4	4	4					2	2	4		4	4		2	2	2	2
Abdel Fattah el-Sisi	4		2			2	7			4						4	7	2	7	7	2	4			2					
Noam Chomsky		2	2			4	7		4	7				2		2	4	7		7	4	4	4	4	2	2		2	4	4
Frank Turek	7	4	4	4					2				2			2		2	2	2	4	7	2	7	7					2
Courtney Violetta			2			4	7	2	4	4	4	4	4	7	4						2	2		4	0					0
Sam Harris																														
Christian Hudson																														
Emma Anzai																														
Tony Hawk																														
Zella Day																														
Zoe Saldana																														
Skylar Grey																														
Michael Pitt																														
Marques Brownlee																														
Elon Musk																														
John Barnes																														
Alyssa																														
Jamie Chung																														
Kilian																														
Margot Robbie																														
Mia Wasikowska																														
Amy Cuddy																														
Lynn Hoag																														
Jared Leto																														
Hayao Miyazaki																														
Alerith																														
Arin Crumley																														
Alanis Morissette																														
Bella																														
Chris Corner																														
Erutan																														
Gage																														
Kiyarii																														
Mary-Kate Olsen																														
Nadia																														
Rooney Mara																														
Ashley Olsen																														
Becks																														
Martha Beck																														
Robert Spitzer																														
Auburn																														
Cosmo																														
Linus																														
Craig Kilborn																														
Ryan Stiles																														
Steve Carell																														
Elizabeth Warren																														
Joe Rowling																														
Brene Brown																														
Catherine																														
Richard Dawkins																														
Barbara Sher																														
Colin Mochrie																														
Ayn Rand																														
Tanmay Bakshi																														
Tim Allen																														
Tina Fey																														
Tony Darnell																														
Liza Former																														
Loretta																														
Rachel Maddow																														
Savannah Guthrie																														
Stephen Colbert																														
Belinda Luscombe																														
Germaine Greer																														
John Carmack																														
Joy Behar																														
Ken Jennings																														
Mitt Romney																														
Robert Meaux																														
Abby Lee Miller																														
Amy Schumer																														
Anna Kendrick																														
Gene Roddenberry																														
George Lucas																														
Hugh Bonneville																														
James Cameron																														
JRR Tolkien																														
Ben Sasse																														
Bill Maher																														
Bob DeMaria																														
Carl Reiner																														
Erin Brockovich																														
Ted Cruz																														
Terri Orbuch																														
Tom Hanks																														
Tucker Carlson																														
Beatrice Chestnut																														
Philip DeFranco																														
Rebecca Watson																														
Safiya Nygaard																														
Scott Pruitt																														
Sophie Bushwick																														
Kelly Eckerman																														
Lauren Southern																														
Lindsay Ellis																														
Loren Grush																														
Michael O'Donnell																														
Blaire White																														
Chris Wallace																														
Drew Barrymore																														
Fran Lebowitz																														
Jake Tapper																														
Wynonna Judd																														
Max Tegmark																														
Mike																														
Abby Hafer																														
Anthony Mason																														
Topher Grace																														
CK																														
Diana																														
Josh Homme																														
Geoff Keighley																														
Gloria Borger																														
Hugh Laurie																														
Robert Downey Jr.																														
Rosie O'Donnell																														
Richard Feynman																														
Amy Poehler																														
Camille Paglia																														
Charlie Sheen																														
Chunt																														
Wendy Walsh																														
Bill O'Reilly																														
Donald Trump																														
L. Ron Hubbard																														
Patricia Routledge																														
Maureen O'Hara																														
Mike Huckabee																														
Monica Lewinsky																														
Norah O'Donnell																														
Jair Bolsonaro																														
Kristen Hadeed																														
Liz Hernandez																														
Maria Shriver																														
Mary Hellen Bowers																														
Scott Adams																														
Ann Romney																														
Ashley Judd																														
Ben Shapiro																														
Carly Fiorina																														
Mark Zuckerberg																														
Kurt Hugo Schneider																														
Bob Odenkirk																														
Jamie Hyneman																														
Julia																														
Mark Rylance																														
Bill Hicks																														
Blake																														
Scott Walker																														
Laughter																														
Mike Reeves																														
Peter Welch																														
Giff Nielsen																														
Jay Inslee																														
John Kerry																														
Laura Miller																														
Brian Williams																														
David Axelrod																														
Elizabeth May																														
Joe Flint																														
Joss Whedon																														
Ben Carson																														
Edward Witten																														
Fred Rogers																														
George W Bush																														
Leonard Cohen																														
Mark Kessell																														
R. Kelly																														
Fredrik Barth																														
Keith Raniere																														
Paul Ekman																														
Ra Uru Hu																														
Thomas Moore																														
Tom Petty																														
Bill Nye																														
Mary Douglas																														
Richard Schechner																														
Steve Bayard																														
Joe Biden																														
Nelson Mandela																														
Quavo Marshall																														
Emeka																														
Supah Protist																														
John Beebe																														
Kendrick Lamar																														
ASAP Ferg																														
Crimson																														
Dave Chappelle																														
Juice WRLD																														
Tom Hardy																														
Tyrese Gibson																														
Zombies																														
Paul Rodriguez																														
Ryan Sheckler																														
Jetplane																														
Brendan Fraser																														
Edgar																														
EJArendee																														
Marshall Mathers																														
Leonardo DiCaprio																														
Lil Baby																														
Nicholas Hoult																														
Zac Efron																														
Cody																														
Camila Cabello																														
Chance Bennett																														
Gabby Douglas																														
Justin Bieber																														
Kendji Girac																														
Smoggy																														
Staas																														
Auburn Williams																														
Ben Affleck																														
Beyonce																														
Rachel Oates																														
Joji																														
Lil Yachty																														
Animal																														
Joseph																														
Josh Constine																														
Kaley Cuoco																														
Kati Morton																														
Keira Knightley																														
Kristen Ritter																														
Dianna Cowern																														
Isabela Moner																														
James Charles																														
James Dean Bradfield																														
Alice Dolphin																														
Skepta																														
Tyga																														
Bera																														
Daniil Trifonov																														
Ali-A Army																														
Megan																														
Meghan LeVota																														
Sabina																														
Jessica Chobot																														
Selena Gomez																														
Kim Kardashian																														
Kodak Black																														
Lorde																														
Luke Pritchard																														
Mango																														
Emma Stone																														
Hailee Steinfeld																														
Hayley Kiyoko																														
Jasmine																														
Kendall Jenner																														
Billy Idol																														
Claire																														
Dakota Fanning																														
Dean Blunt																														
Elle Fanning																														
Bhad Bhabie																														
6ix 9ine																														
Alessia Cara																														
Amanda Seyfried																														
Bam Margera																														
Lindsay Shepherd																														
Rosemary Gotto																														
XKCD Hat Guy																														
Thana																														
21 Savage																														
Teal Swan																														
The White Rose																														
Zinnia Jones																														
Jeremy Rys																														
Diana Lee Davison																														
Heather Wildwood																														
Ingrid Newkirk																														
Marie Von Franz																														
Rebecca Solnit																														
Sandy Munro																														
Sarah Coakley																														
Adi Da Samraj																														
Baris Ilhan																														
Justine																														
Noah																														
Pucokie																														
Quin																														
Fabiano Caruana																														
Carolyn Zaikowski																														
Chuck																														
Michael Pierce																														
Andrew Kirby																														
Shauna Shapiro																														
Tamar Ross																														
Humberto Maturana																														
Nichol Bradford																														
Raymond Tallis																														
Roger Penrose																														
Sandra Maitri																														
AH Almaas																														
Antero Alli																														
Carl Jung																														
Gayatri Spivak																														
Larry King																														
Robert Aaron Gulick																														
Roger Woolger																														
Rupert Sheldrake																														
Thomas Bergman																														
Thomas W Campbell																														
Leahnora																														
Lynette Evans																														
Mahasweta Devi																														
Morgan Freeman																														
Ray Kurzweil																														
Elaine Aron																														
Garrison Keillor																														
Guy Lyon Playfair																														
Iain McGilchrist																														
Isaac Asimov																														
Acharya Rajneesh																														
Andrea Rugh																														
Claudio Naranjo																														
Ekhart Tolle																														
Anne Hathaway																														
Matthew Gray Gubler																														
Rebecca Hall																														
Tara																														
Aadel Tschudi																														
Lawrence Krauss																														
Lights Bokan																														
Robert Bryson Hall																														
Tim Minchin																														
Trace Dominguez																														
Cliff Stoll																														
Eva Green																														
Hank Green																														
Imogen Heap																														
Jim Carrey																														
Peter Bonde																														
Anahata Ananda																														
Christina Perri																														
Chuck Thomas																														
Ozman																														
Puffs																														
The Overly Emotional																														
Elizabeth Olsen																														
Mark																														
Bret McKenzie																														
Eliza Dushku																														
Michael DiMartino																														
Avril Lavigne																														
Bill Wurtz																														
Andrew Bird																														
Andrew Hozier																														
Shelley																														
Vanessa Woods																														
Zephyr Teachout																														
Josh Groban																														
Robin Williams																														
Felicia Day																														
Linda Liukas																														
Sander																														
Robert Llewellyn																														
Sabrina Cruz																														
Tana Mongeau																														
Tim Urban																														
Wally De Backer																														
Landon Dowlatsingh																														
Linus Sebastian																														
Mikey Chen																														
Miley Cyrus																														
Mo O'Hara																														
Jennifer Paine																														
Jon Rettinger																														
Jonathan Jafari																														
Jonathan Ross																														
Laci Green																														
Eric Cornell																														
Evanna Lynch																														
iDubbbz																														
Jenna Marbles																														
Jennifer Lawrence																														
Catherine Valdes																														
Chloe Agnew																														
Craig Ferguson																														
Drew Endy																														
Eesha Khare																														
Keso																														
Regina Spektor																														
Sean																														
Albinwonderland																														
Andre Meadows																														
Skua Grey																														
Space Man																														
Taliesin																														
Janis Asare																														
Jenny																														
Nigel																														
Phil Lester																														
Quinn Evans																														
Reve																														
SC																														
Kate Micucci																														
Kristen Schaal																														
Marc																														
Matt																														
Meghan Telpner																														
Farrah																														
Faye																														
Florence Welch																														
Charlene Yi																														
Emilie Wapnick																														
Britney Spears																														
Calypso																														
Anna Elspeth																														
Anthony Agwu																														
Aurora Aksnes																														
Olimpia																														
Xailynne																														
Allison Raskin																														
Amy Lee																														
Holly Henry																														
Miranda Kerr																														
Natalie Portman																														
Kate Bush																														
Madonna																														
Marilyn Monroe																														
Prince Nelson																														
Diana Frances																														
Jackie Kennedy																														
Janet Jackson																														
Janie																														
Joni Mitchell																														
Arianna Huffington																														
Joan Baez																														
Alice Kristiansen																														
Bjork																														
Vashti Bunyan																														
Jill Stein																														
Susan Cain																														
Ingrid Betancourt																														
Pine																														
Selena																														
Zoe Kaiser																														
Chet Baker																														
Fayest																														
Kailia																														
Kimberly Beswick																														
Meredith Godreau																														
Sharron																														
Tada																														
Tori																														
Ciscandra Nostalghia																														
Claire Wright																														
LadyNerdSky																														
Melinda																														
Michael H																														
Paula																														
Sara																														
Amanda																														
Amy																														
Frida																														
Hannah																														
Julie																														
Barack Obama	7	4	7	7					2				2		2	0		7	4	4	7	7	2	2	7	2	7	2	4	2
Tom Hiddleston																														
Heresy																														
Michael B																														
Alain De Botton																														
Terry Crews																														
Jordan Greenhall																														
Leslie Odom Jr																														
Yuval Harari																														
John Glaser																														
John Iadarola																														
Jon Bernthal																														
Michael Strahan																														
Orlando Bloom																														
Sammy Hagar																														
Charles Manson																														
Chase Jarvis																														
C.S. Joseph																														
Dwayne Johnson																														
Eddie Murphy																														
Jill Biden																														
Paul Washer																														
Tom Cruise																														
Acslaterlol																														
Alex Jones																														
Tony Robbins																														
Wim Hof																														
Bernie Sanders																														
Brad Pitt																														
Harry Lennix																														
Kyle Kulinski																														
NT Wright																														
Rachel McAdams																														
Simon Sinek																														
Tai Lopez																														
Jimmy Bright Insight																														
Joshua Axe																														
Emma Watson																														
Heidi Klum																														
Iyanla Vanzant																														
Celeste Headlee																														
Charlie Houpert																														
David Miscavige																														
David Rubin																														
Devin Stone																														
Alex Becker																														
Becky Bailey																														
Ben INTJ																														
Ben Saltzman																														
Ben Sullins																														
Ocean																														
Leonard Susskind																														
Zbigniew Preisner																														
Carl Sagan																														
Jordan B. Peterson																														
Will Smith																														
Cate Blanchett																														
Francisco Varela																														
Kate Beckinsale																														
Malcolm X																														
Jocko Willink																														
Michael McCurdden																														
Niel DeGrasse Tyson																														
Randall Carlson																														
Shemar Moore																														
Shonda Rhimes																														
Andrew WK																														
Denzel Washington																														
DJ Khaled																														
Gisele Bundchen																														
Bruce Lee																														
Cesar Millan																														
Julian Assange																														
Martin Luther King Jr																														
Oprah Winfrey																														
Steve Jobs																														
Thomas Chenault																														
Tim Ferriss																														
Viktor Frankl																														
Al Gore																														
Mandy Patinkin																														
Patrick Stewart																														
Ralph Smart																														
Richard D Wolff																														
Sandra Bullock																														
Derek Muller																														
Drew Canole																														
Ian McKellen																														
James Fallon																														
Kazimierz Dabrowski																														
Abby Martin																														
Anna Kasparian																														
Bryan Cranston																														
Cenk Uygur																														
Clint Mansell			4	2		7	7	4	4	4	4	7	7	7	4	2	2	4	2	2	4	7	2	4	4			2	4	4
Gillian Welch	0					4	0	4				2	2	2	2	4	7	2	4	4	4	2	2	2			4	2	0	2
Marie-Ève Jobin	2	0	4	4	0	4	7	4	4	4	2	2	4	7	2	7	4	7	2	4	4	4	2	4	7	2	2	2	4	7
Bob Burnquist				2		4	7	7	7	7	7	4	7	7	4						2		2	4	4					
Titus Welliver	4	4	7	2	4	7						4	4	2	7	7	4	7		2	7	7	2	4	4		2		2	2
Pia Mia			2	4		4	4	4	4	7	4	4	7	7	2			2	2		2	4	2	4	7	7	4	0	2	4
Jordan Welch			2	7		7	7	7	7	7	7	7	7	7	2		0	2		2	2	2	2	7	4	2	2			2
Jenny Hval	7	7	7	7	2			2				2	4	2	4			2	2	2	2	0	2			7	7	7	7	7
Susan Yara	4	4	7	7	7		4	2	2		4	2	4	4	2			2		2	7	4	4	7	7	2	2	0		4
Tash Sultana				2		7	7	4			4	4	4	4	2				4		2			4	4	2	4		2	4
Tessa Thompson	7	4	7	7	4	2	4	4	2		2	7	7		2	2		4	7		7	4	4	4	7	4	7		2	7
M.I.A.			2	2		7	7	7	7	7	4	7	7	7	4	4	4	7	2	4	4	4	4	4	4	7	2	4	4	7
Sam Altman	2	7	4	4	4	2			2	2		4	2	2	2		4	2		2		4	2	2	2	2	7	7	2	
Olivia Wilde	7	7	7	7	4	2		2	4	0	2	4	2	2	4	0	2	2	4	2	7	7	2	4	4	4	4	2	2	4
Bianca Casady				2		7	7	2	2	2	4	4	4	4		4	2	7	7								4		2	2
Sierra Casady	2	2		2		4	4	4	7	4	7	4	2	7	4		2	2	0	2	2	4	2		2	2	4	2	4	2
Nils Frahm	2		4			4	4	2	4	7	7	4	7	7	4		2	7	2		4	4	2	4	7	4	7		7	2
Niin			2			7	7	7	2	4	7	7	4	4	4						2	2	2	2	2	4		2		7
Rose Byrne	7	2	7	7	4	4	4	2	4	2	4	2	4	4	7	2	0	4	7		4	4	2	4	7	7	7	4	4	7
Camila	2	2	4	4		2	4	4	4	7	7	7	4	2	7			2	4		4	2		7	4	7	2	2	2	7
Doe	7	7				2	4	4				7	2		4	2		4	2		2	2				4	7	2	7	4
Shika Chica	4	4	7	7	7	2		4	2		4	2	2	4	7			2	2	4	7	4		7	7		2			4
Essie Davis	7	7	7	7	4		2	2	4		2	4	7		4		2	2	4		7	7			4	4	7	7	4	7
Audra Miller						7	4	4	7	7	7	7	4	7	7			2			2	2	4	2		7				4
Jimmy Carr	7	7	7	7	7							2	2	4	4			2			7	7	7	7	7	2				2
John Jurasek			2	2		4	4	2		7			2	2	4	7	7			7	2	2	2	4	2	4				4
Dave Bayley			2	4		7	7	7	4	4	7	4	7	4	2			2			4	2		4	7	2				2
Richard Lindzen						2	2		2			2			2	7	7	4	4	7	2		2	4						
Richard Brody	4			2		2	4	2	4						2	2	7	4	4	4	4	4		4	4		2		7	4
Tang Wei	4	4	2		4	2		4	4		2	4	4	7	2			4			4	2	2	4	4	4	4	4	4	7
Brandon Sanderson	2		4	4	2	4	4	4	7	7	4	4	4	7	2			4	2		4	4	2	7	4					
Daniel Kaluuya						4	7	4	4	4	7	4	4	7	7						4	2	2	4			4	2		
George Scholey	0		2	2		7	7	7	7	7	7	7	7	7			2	2	2			2	2	4	2	2	2			2
Jillian Michaels	7	4	7	7					2			4			2			2	2		7	7		4	7		7			4
Sanaë Lemoine	7	4	7	7	4		2	4	2		2	4	4	2	4			2	2		2	2		4	2	4	7	4	4	7
Greg Alba	2	2	4	4		4	4	4	7	4	4	7	4	4	4			2	2		2	2	7	7	7		2			2
Scott Aaronson						4	4	7	4	7	7	2	4	4	4	2	7	2	2	7	4	7	4	4	4					
Heather Baron-Gracie	2	2		2		4	4	7	4	4	7		7	2	2	2	2	4	2		2	2		2	2	7	7	2		4
David Fincher	2	0	4	4	2	4	7	2	4	4	2	4	4	7	2	7	4	2	4	7	4	4	7	4	4					
Nina Kraviz	4	2	2			7	4	7	2	7	7	7	4	2	7								2	2	2	2	2		2	
Sorelle Amore	4	7	4	4	4			2	4		2	4	2	2	7			2	4		7	7	4	7	7		2		2	2
Dua Lipa	4	4	4	4	7		2		4		2	7		4				2			2	2	2	4	2	7	4	4	4	7
Raoul Pal	4	4	7	7	4	2	2	2	4		2	4	2	4	7		2	4	2		7	7	4	7	7		2		2	2
Joe Abercrombie				2		4	4	7	4	4	4	7	4	4	4		2		4		4	4	4	4					2	2
Dee	7	7	4	4	4	2	2	2	2		2	7	2	4	2	2		4	2		2	2			2	7	7	7	7	7
Vincent						7	4	7	7	2	7	7	4	7	4			4	4		2	2	2		2		2	2	2	2
Robert Eggers	4	4	4	2	2						4	2	4	7	2	4	2	2			4	4	2	4		7	7	4	4	4
Mustafa Al-Bassam			2	2		4	7	4	4	4	2	7	2			2	7	2		7					4			4	4	4
Brennan Lee Mulligan	7	7	4	4	4	2	2	4	4		2	7	4	4	4						4	7	4	7	4					
Ari Aster						7	7	2	4	2	4	4	2	7	2	2	4	4			4	4	2	2	2		2		7	4
Devi	7	7	4	2	2	2	2	4	2	2		4	4	4		4	2	2			2	4	2		2	4	7	7	7	7
Renaud Contini	7	7	4	4	7			2	2		2	7	4	4			4	7	4	2	7	4		7	7	4	7	2	4	7
Xavier	2	4	7	4	7	2	2	2	2			7	4	7	7		4	2			4	4	2	7	7	4	2	2	4	4
Peter Murphy		2	2	2		2	4		4		2	7	4	4	2	2		2	7	2						4	4	4	4	
Ron DeSantis	7	7	7	7				2	4			2	2		4		2	2	7		7	7		7	7				4	
Laura Mersini-Houghton		2	2	4		4	4	2	7	4		2		2		7	7	7	2	7	4			4	7		2	2	2	4
Ocean Ramsey	7	7	4	4	4				4			2	2	2	2			2	0	2	2			7	7	7	4	2	2	7
George Thompson	2		4			4	4	7	7	4	7		4	7	2		2	2			4	2	2	7	7	2				2
Alexis Karl	0	2	2	2	2	4	4	2	4	4	7	4	4	4	4	0	0	4	0	0	2	4	2	4	7	4	4	2	0	7
Julia Ducournau	4	4			4	2					4	4	4	4	2						4	4		4	4	4	7	4	2	7
Yungblud						7	7	4	2	2	4	4	7	2	7	2		2	2					4	2	4			2	
Famke Janssen	7	7	2	2			2	2	2		2	4	4					2			4	4		7	4	7	4	4	2	7
Greg Puciato				2		7	7	4	4	2	4	7	4	7	2	2						2	2	4	2	2	2		2	2
Vanessa Van Edwards	4	4	4	7	7	2	4	4	4		4	4	4	2	7			2	2		7	7		7	7					2
